WARNING  mypy.lib.music.music:music.py:26 🟠 在 D:\Music 下未发现歌曲，开始下载 douyin 热门歌曲
INFO     mypy.lib.douyin.douyin_music:douyin_music.py:29 🟢 一共发现 91 条音乐信息
DEBUG    mypy.lib.mqs.pylib.downloader:downloader.py:84 🔵 ------------------------------------------------------------
DEBUG    mypy.lib.mqs.pylib.downloader:downloader.py:85 🔵 下载任务数量: 91
DEBUG    mypy.lib.mqs.pylib.downloader:downloader.py:86 🔵 ------------------------------------------------------------
DEBUG    mypy.lib.mqs.pylib.downloader:downloader.py:93 🔵 ------------------------------------------------------------
DEBUG    mypy.lib.mqs.pylib.downloader:downloader.py:94 🔵 生产者数量: 5, 每个生产者负责 20 个任务
DEBUG    mypy.lib.mqs.pylib.downloader:downloader.py:96 🔵 消费者数量: 20
DEBUG    mypy.lib.mqs.pylib.downloader:downloader.py:97 🔵 ------------------------------------------------------------
INFO     mypy.lib.mqs.pylib.downloader:downloader.py:107 🟢 下载任务结束
