"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    n 张图片垂直拼图
    ","673","test_batch_conn_images_to_one[4_lines]","lib.image","Fri Oct 17 12:40:20 UTC 2025","passed","Fri Oct 17 12:40:21 UTC 2025","","test_image_stitch","",""
"
    策略回测
    ","2781","test_strategy[sma]","lib.stock.backtrader.strategy","Fri Oct 17 12:51:17 UTC 2025","passed","Fri Oct 17 12:51:19 UTC 2025","","test_strategy","",""
"
    测试上传文件
    ","1018","test_upload_file[test_upload_image]","lib.github","Fri Oct 17 12:38:47 UTC 2025","passed","Fri Oct 17 12:38:48 UTC 2025","","test_repository","",""
"","0","test_json_config_dict_update","utils","Fri Oct 17 13:18:27 UTC 2025","passed","Fri Oct 17 13:18:27 UTC 2025","","test_json_config","",""
"
    ","114","test_package","lib.github","Fri Oct 17 12:38:38 UTC 2025","passed","Fri Oct 17 12:38:38 UTC 2025","","test_package","",""
"","1","test_dt2str","utils","Fri Oct 17 13:18:02 UTC 2025","passed","Fri Oct 17 13:18:02 UTC 2025","","test_dt","",""
"测试初始化","1","test_init","lib.xuangutong","Fri Oct 17 13:09:37 UTC 2025","passed","Fri Oct 17 13:09:37 UTC 2025","TestXuanguobaoStock","test_stock","",""
"
    测试图文发布、横屏视频、竖屏视频发布
    ","5","test_douyin_publish_app[xiaohongshu_image_article]","lib.douyin","Fri Oct 17 12:38:34 UTC 2025","broken","Fri Oct 17 12:38:34 UTC 2025","","test_douyin_publish_app","",""
"
    支持选择聊天记录继续聊
    ","0","test_chat_with_history[try_all]","lib.ai.llm","Fri Oct 17 11:42:20 UTC 2025","skipped","Fri Oct 17 11:42:20 UTC 2025","","test_llm_api","",""
"
    获取当前时间点距离市场开盘以来的分钟数
    ","0","test_get_trading_minute_count[6\u4e0b\u5348\u5f00\u76d8]","apps.ptrade.lib","Fri Oct 17 11:16:33 UTC 2025","passed","Fri Oct 17 11:16:33 UTC 2025","","test_trade_helper","",""
"","3595","test_send_email","utils","Fri Oct 17 13:18:02 UTC 2025","passed","Fri Oct 17 13:18:06 UTC 2025","","test_email","",""
"
    测试 localstorage 的设置和获取
    ","4996","test_localstorage","lib.playwright","Fri Oct 17 12:50:24 UTC 2025","passed","Fri Oct 17 12:50:29 UTC 2025","","test_common","",""
"
    修正字幕时间线（有些字母时间线会重合）
    ","1","test_fix_subtitle_timeline","lib.subtitle","Fri Oct 17 12:55:23 UTC 2025","passed","Fri Oct 17 12:55:23 UTC 2025","","test_subtitle_handler","",""
"
    测试下载工件
    ","89","test_download_artifact","lib.github","Fri Oct 17 12:38:35 UTC 2025","passed","Fri Oct 17 12:38:35 UTC 2025","","test_action","",""
"
        测试查询余额
        ","0","test_balance[KimiHelper]","lib.ai.llm","Fri Oct 17 11:42:20 UTC 2025","skipped","Fri Oct 17 11:42:20 UTC 2025","TestLLM","test_llm","",""
"
    如果今天是工作日，测试是否返回正确日期
    ","0","test_get_working_day","utils","Fri Oct 17 13:18:02 UTC 2025","passed","Fri Oct 17 13:18:02 UTC 2025","","test_dt","",""
"
    测试 douyin 视频搬运（防查重处理）
    ","0","test_douyin2douyin","apps.douyin2douyin","Fri Oct 17 10:54:12 UTC 2025","skipped","Fri Oct 17 10:54:12 UTC 2025","","test_douyin2douyin","",""
"
        测试生成 PPT 题目
        ","0","test_ppt_topic[DeepSeekHelper]","lib.ai.llm","Fri Oct 17 11:42:20 UTC 2025","skipped","Fri Oct 17 11:42:20 UTC 2025","TestLLM","test_llm","",""
"
    测试手动触发 youtube 视频发布
    ","266","test_y2douyin_manual[teded_channel]","apps.youtu2douyin","Fri Oct 17 11:41:15 UTC 2025","broken","Fri Oct 17 11:41:16 UTC 2025","","test_youtu2douyin","",""
"
    测试 youtu 下载工具
    ","37514","test_y2_downloader[playlist]","lib.youtube","Fri Oct 17 13:10:14 UTC 2025","broken","Fri Oct 17 13:10:51 UTC 2025","","test_y2_downloader","",""
"","0","test_iq[QWenHelper]","lib.ai.llm","Fri Oct 17 11:42:20 UTC 2025","skipped","Fri Oct 17 11:42:20 UTC 2025","TestLLM","test_llm","",""
"
    rich 打印 ini 配置
    ","5","test_print_ini_config","lib.rich","Fri Oct 17 12:51:17 UTC 2025","passed","Fri Oct 17 12:51:17 UTC 2025","","test_rich_helper","",""
"
    测试上传和删除
    ","3473","test_upload_and_get_and_delete[test_upload_file]","lib.github","Fri Oct 17 12:38:35 UTC 2025","passed","Fri Oct 17 12:38:38 UTC 2025","","test_github_helper","",""
"
    测试发微信通知
    ","0","test_send_weixin_notify[False]","lib.weixin","Fri Oct 17 13:09:30 UTC 2025","passed","Fri Oct 17 13:09:30 UTC 2025","","test_pushplus","",""
"
    测试 PPT 生成视频
    ","121587","test_make_video[middle]","apps.ppt2douyin","Fri Oct 17 11:14:31 UTC 2025","passed","Fri Oct 17 11:16:32 UTC 2025","","test_ppt_video_handler","",""
"
        测试查询余额
        ","0","test_balance[QWenHelper]","lib.ai.llm","Fri Oct 17 11:42:20 UTC 2025","skipped","Fri Oct 17 11:42:20 UTC 2025","TestLLM","test_llm","",""
"","0","test_data_masking[aa12345678901]","utils","Fri Oct 17 13:19:00 UTC 2025","passed","Fri Oct 17 13:19:00 UTC 2025","","test_tools","",""
"
    测试 baidu 生成 PPT / DOC
    ","929692","test_baidu_aigc[ppt]","lib.baidu","Fri Oct 17 11:42:21 UTC 2025","passed","Fri Oct 17 11:57:50 UTC 2025","","test_baidu_aigc","",""
"
    测试 PPT 转成 视频 / 图片
    ","57624","test_batch_ppt_convert[ppt2video]","apps.ppt2douyin","Fri Oct 17 11:07:23 UTC 2025","passed","Fri Oct 17 11:08:20 UTC 2025","","test_ppt_convert","",""
